"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","GO:0002449","lymphocyte mediated immunity","7/39","30/612",0.00169502109099909,0.155479661892553,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0050776","GO:0050776","regulation of immune response","10/39","58/612",0.00193539114086338,0.162734138427596,NA,"F6R528/H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2HB83/F6YWC0/H9GZV1",10
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/39","33/612",0.00307935238863237,0.239005120010005,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0042571","GO:0042571","immunoglobulin complex, circulating","3/39","6/612",0.00419743650126588,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0001775","GO:0001775","cell activation","9/39","54/612",0.0043821133830661,0.244930887478666,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/Q28377/A0A3Q2HTG2/F6PH38/A0A5F5PPB8/F6URZ2/H9GZV1",9
"GO:0002443","GO:0002443","leukocyte mediated immunity","7/39","35/612",0.0044024574270115,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0009617","GO:0009617","response to bacterium","7/39","35/612",0.0044024574270115,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6PH38/A0A3Q2HVB6/A0A3Q2I4T2/H9GZV1/A0A3Q2HXD5",7
"GO:0050778","GO:0050778","positive regulation of immune response","8/39","45/612",0.00492583077329376,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",8
"GO:0007160","GO:0007160","cell-matrix adhesion","6/39","27/612",0.00495423797383187,0.244930887478666,NA,"F6R528/F6V881/Q28377/F6PH38/A0A5F5PPB8/F6URZ2",6
"GO:0002250","GO:0002250","adaptive immune response","7/39","36/612",0.00520825657845139,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",7
"GO:0002682","GO:0002682","regulation of immune system process","12/39","89/612",0.00580741391888568,0.244930887478666,NA,"F6R528/H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/Q28377/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2HB83/F6YWC0/H9GZV1",12
"GO:0002376","GO:0002376","immune system process","16/39","139/612",0.00633715783464402,0.244930887478666,NA,"F6R528/F6V881/H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/F6VTD3/Q28377/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2HB83/F6YWC0/H9GZV1/A0A3Q2HXD5",16
"GO:0003823","GO:0003823","antigen binding","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0005044","GO:0005044","scavenger receptor activity","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"F6V881/F6VTD3/A0A3Q2HC10",3
"GO:0019814","GO:0019814","immunoglobulin complex","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"F6PH38/A0A5F5PPB8/F6URZ2",3
"GO:0034987","GO:0034987","immunoglobulin receptor binding","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0070527","GO:0070527","platelet aggregation","3/39","7/612",0.00702165404766428,0.244930887478666,NA,"F6PH38/A0A5F5PPB8/F6URZ2",3
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms","11/39","80/612",0.00738082746806038,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/Q28377/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2I4T2/H9GZV1/A0A3Q2HXD5",11
"GO:0008037","GO:0008037","cell recognition","4/39","14/612",0.00889179693879014,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/A0A3Q2HVB6/H9GZV1",4
"GO:0030168","GO:0030168","platelet activation","4/39","14/612",0.00889179693879014,0.244930887478666,NA,"A0A3Q2HTG2/F6PH38/A0A5F5PPB8/F6URZ2",4
"GO:0043207","GO:0043207","response to external biotic stimulus","10/39","71/612",0.00924482844609916,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2I4T2/H9GZV1/A0A3Q2HXD5",10
"GO:0051707","GO:0051707","response to other organism","10/39","71/612",0.00924482844609916,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2I4T2/H9GZV1/A0A3Q2HXD5",10
"GO:0045087","GO:0045087","innate immune response","7/39","40/612",0.00959288688798641,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/H9GZV1/A0A3Q2HXD5",7
"GO:0009607","GO:0009607","response to biotic stimulus","10/39","72/612",0.0102355729556441,0.244930887478666,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A3Q2HVB6/A0A3Q2I4T2/H9GZV1/A0A3Q2HXD5",10
"GO:0006957","GO:0006957","complement activation, alternative pathway","3/39","8/612",0.0107402849525584,0.244930887478666,NA,"F6SP74/F7BTW7/A0A3Q2HWQ6",3
"GO:0002713","GO:0002713","negative regulation of B cell mediated immunity","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002791","GO:0002791","regulation of peptide secretion","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:0002793","GO:0002793","positive regulation of peptide secretion","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:0002890","GO:0002890","negative regulation of immunoglobulin mediated immune response","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002924","GO:0002924","negative regulation of humoral immune response mediated by circulating immunoglobulin","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0030449","GO:0030449","regulation of complement activation","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0045916","GO:0045916","negative regulation of complement activation","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0090087","GO:0090087","regulation of peptide transport","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:0090276","GO:0090276","regulation of peptide hormone secretion","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:0090277","GO:0090277","positive regulation of peptide hormone secretion","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:1902042","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","2/39","3/612",0.0114090700807704,0.244930887478666,NA,"F6PH38/A0A5F5PPB8",2
"GO:0050777","GO:0050777","negative regulation of immune response","3/39","9/612",0.0154029391556046,0.304969285313366,NA,"F6R528/A0A3Q2HVB6/F6YWC0",3
"GO:0050853","GO:0050853","B cell receptor signaling pathway","3/39","9/612",0.0154029391556046,0.304969285313366,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0002252","GO:0002252","immune effector process","8/39","54/612",0.0154147012398232,0.304969285313366,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",8
"GO:0098542","GO:0098542","defense response to other organism","8/39","54/612",0.0154147012398232,0.304969285313366,NA,"H9GZT5/A0A3Q2H908/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/H9GZV1/A0A3Q2HXD5",8
"GO:0002684","GO:0002684","positive regulation of immune system process","9/39","66/612",0.0171511490215656,0.329795226560603,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/F6SP74/F7BTW7/A0A3Q2HWQ6/A0A3Q2HVB6/F6YWC0/H9GZV1",9
"GO:0006911","GO:0006911","phagocytosis, engulfment","3/39","10/612",0.021039879311526,0.329795226560603,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0031638","GO:0031638","zymogen activation","3/39","10/612",0.021039879311526,0.329795226560603,NA,"F6PH38/A0A5F5PPB8/A0A3Q2HC10",3
"GO:0038024","GO:0038024","cargo receptor activity","3/39","10/612",0.021039879311526,0.329795226560603,NA,"F6V881/F6VTD3/A0A3Q2HC10",3
"GO:0050871","GO:0050871","positive regulation of B cell activation","3/39","10/612",0.021039879311526,0.329795226560603,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0002790","GO:0002790","peptide secretion","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0002921","GO:0002921","negative regulation of humoral immune response","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0030072","GO:0030072","peptide hormone secretion","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0031091","GO:0031091","platelet alpha granule","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0034116","GO:0034116","positive regulation of heterotypic cell-cell adhesion","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0045907","GO:0045907","positive regulation of vasoconstriction","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0046887","GO:0046887","positive regulation of hormone secretion","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0072577","GO:0072577","endothelial cell apoptotic process","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:2000351","GO:2000351","regulation of endothelial cell apoptotic process","2/39","4/612",0.0218991874921312,0.329795226560603,NA,"F6PH38/A0A5F5PPB8",2
"GO:0002694","GO:0002694","regulation of leukocyte activation","5/39","28/612",0.0268273115373091,0.398069960899189,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/Q28377/H9GZV1",5
"GO:0051604","GO:0051604","protein maturation","4/39","19/612",0.0272656301489058,0.398710446670231,NA,"A0A3Q2LQ80/F6PH38/A0A5F5PPB8/A0A3Q2HC10",4
"GO:0050864","GO:0050864","regulation of B cell activation","3/39","11/612",0.0276646885479286,0.398766724926571,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0005615","GO:0005615","extracellular space","14/39","136/612",0.03156435593534,0.40447905252153,NA,"F6R528/H9GZT5/A0A3Q2H908/A0A5F5PU06/Q28377/A0A3Q2HTG2/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A5F5PPB8/A0A3Q2HVB6/F6YWC0/H9GZV1",14
"GO:0042742","GO:0042742","defense response to bacterium","4/39","20/612",0.0325333646111682,0.40447905252153,NA,"H9GZT5/A0A3Q2H908/F6PH38/H9GZV1",4
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","4/39","20/612",0.0325333646111682,0.40447905252153,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/H9GZV1",4
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002820","GO:0002820","negative regulation of adaptive immune response","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002823","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002923","GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0015833","GO:0015833","peptide transport","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0019229","GO:0019229","regulation of vasoconstriction","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0033622","GO:0033622","integrin activation","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"Q28377/F6URZ2",2
"GO:0045921","GO:0045921","positive regulation of exocytosis","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0046879","GO:0046879","hormone secretion","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0046883","GO:0046883","regulation of hormone secretion","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0050714","GO:0050714","positive regulation of protein secretion","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:1904036","GO:1904036","negative regulation of epithelial cell apoptotic process","2/39","5/612",0.0350348388997782,0.40447905252153,NA,"F6PH38/A0A5F5PPB8",2
"GO:0010324","GO:0010324","membrane invagination","3/39","12/612",0.035276666622294,0.40447905252153,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0099024","GO:0099024","plasma membrane invagination","3/39","12/612",0.035276666622294,0.40447905252153,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0009897","GO:0009897","external side of plasma membrane","5/39","31/612",0.0402210737998307,0.455989477123923,NA,"H9GZT5/A0A3Q2H908/F6PH38/A0A5F5PPB8/H9GZV1",5
"GO:0031589","GO:0031589","cell-substrate adhesion","6/39","42/612",0.0426887744710726,0.478588593792359,NA,"F6R528/F6V881/Q28377/F6PH38/A0A5F5PPB8/F6URZ2",6
"GO:0009306","GO:0009306","protein secretion","3/39","13/612",0.0438629778901782,0.481062442295541,NA,"F6PH38/A0A5F5PPB8/A0A3Q2GTR9",3
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","3/39","13/612",0.0438629778901782,0.481062442295541,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0051249","GO:0051249","regulation of lymphocyte activation","4/39","22/612",0.0447641932157029,0.48566742961983,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/H9GZV1",4
"GO:0002712","GO:0002712","regulation of B cell mediated immunity","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0002920","GO:0002920","regulation of humoral immune response","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0005540","GO:0005540","hyaluronic acid binding","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"F7DAF6/F6QX36",2
"GO:0009914","GO:0009914","hormone transport","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"F6PH38/A0A5F5PPB8",2
"GO:0042886","GO:0042886","amide transport","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"F6PH38/A0A5F5PPB8",2
"GO:0050708","GO:0050708","regulation of protein secretion","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"F6PH38/A0A5F5PPB8",2
"GO:1901657","GO:1901657","glycosyl compound metabolic process","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"A0A3Q2HCD2/F7C708",2
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","2/39","6/612",0.0504535400990343,0.495752201270102,NA,"F6PH38/A0A5F5PPB8",2
"GO:0005576","GO:0005576","extracellular region","16/39","172/612",0.0506461258755371,0.495752201270102,NA,"F6R528/H9GZT5/A0A3Q2H908/A0A5F5PU06/Q28377/A0A3Q2HTG2/F7DAF6/F6SP74/F6QX36/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A5F5PPB8/A0A3Q2HVB6/F6YWC0/H9GZV1",16
"GO:0050865","GO:0050865","regulation of cell activation","5/39","33/612",0.0510983438375526,0.495752201270102,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/Q28377/H9GZV1",5
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","3/39","14/612",0.0534005726951023,0.508312998578851,NA,"F6PH38/A0A5F5PPB8/A0A3Q2GTR9",3
"GO:0042113","GO:0042113","B cell activation","3/39","14/612",0.0534005726951023,0.508312998578851,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0061134","GO:0061134","peptidase regulator activity","5/39","35/612",0.0635774169300249,0.565592819588914,NA,"A0A5F5PU06/Q28377/F7DAF6/F6QX36/A0A3Q2HWQ6",5
"GO:0007166","GO:0007166","cell surface receptor signaling pathway","11/39","108/612",0.063593424876068,0.565592819588914,NA,"F6R528/H9GZT5/A0A3Q2H908/F6Q698/Q28377/F6PH38/A0A5F5PPB8/A0A3Q2HB83/F6URZ2/H9GZV1/A0A3Q2HXD5",11
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","3/39","15/612",0.0638579021161086,0.565592819588914,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0002757","GO:0002757","immune response-activating signal transduction","3/39","15/612",0.0638579021161086,0.565592819588914,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","3/39","15/612",0.0638579021161086,0.565592819588914,NA,"H9GZT5/A0A3Q2H908/H9GZV1",3
"GO:0071692","GO:0071692","protein localization to extracellular region","3/39","15/612",0.0638579021161086,0.565592819588914,NA,"F6PH38/A0A5F5PPB8/A0A3Q2GTR9",3
"GO:0006952","GO:0006952","defense response","9/39","83/612",0.0668717035596756,0.565592819588914,NA,"H9GZT5/A0A3Q2H908/Q28377/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/H9GZV1/A0A3Q2HXD5",9
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","4/39","25/612",0.0673793383774315,0.565592819588914,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/H9GZV1",4
"GO:0050867","GO:0050867","positive regulation of cell activation","4/39","25/612",0.0673793383774315,0.565592819588914,NA,"H9GZT5/A0A3Q2HMJ3/A0A3Q2H908/H9GZV1",4
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0023061","GO:0023061","signal release","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"F6PH38/A0A5F5PPB8",2
"GO:0034114","GO:0034114","regulation of heterotypic cell-cell adhesion","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"F6PH38/A0A5F5PPB8",2
"GO:0042310","GO:0042310","vasoconstriction","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"F6PH38/A0A5F5PPB8",2
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"F6PH38/A0A5F5PPB8",2
"GO:1904035","GO:1904035","regulation of epithelial cell apoptotic process","2/39","7/612",0.0678262945195823,0.565592819588914,NA,"F6PH38/A0A5F5PPB8",2
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","4/39","26/612",0.0760396387648627,0.607989027096627,NA,"A0A3Q2HMJ3/F6PH38/A0A5F5PPB8/F6URZ2",4
"GO:0004857","GO:0004857","enzyme inhibitor activity","5/39","37/612",0.0776651668674145,0.607989027096627,NA,"A0A5F5PU06/F7DAF6/F6QX36/A0A3Q2HWQ6/A0A3Q2KTL8",5
"GO:0045785","GO:0045785","positive regulation of cell adhesion","5/39","37/612",0.0776651668674145,0.607989027096627,NA,"F6V881/A0A3Q2HMJ3/Q28377/F6PH38/A0A5F5PPB8",5
"GO:0006950","GO:0006950","response to stress","15/39","167/612",0.0788262867708228,0.607989027096627,NA,"F6R528/H9GZT5/A0A3Q2H908/A0A3Q2HCD2/Q28377/A0A3Q2LQ80/A0A3Q2HTG2/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A5F5PPB8/F6URZ2/H9GZV1/A0A3Q2HXD5",15
"GO:0050839","GO:0050839","cell adhesion molecule binding","5/39","38/612",0.0853073512981032,0.607989027096627,NA,"F6R528/Q28377/F6PH38/A0A5F5PPB8/F6URZ2",5
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2HVB6/F6YWC0",2
"GO:0005977","GO:0005977","glycogen metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2I4T2/A0A3Q2HJD6",2
"GO:0006073","GO:0006073","cellular glucan metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2I4T2/A0A3Q2HJD6",2
"GO:0006112","GO:0006112","energy reserve metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2I4T2/A0A3Q2HJD6",2
"GO:0010001","GO:0010001","glial cell differentiation","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6V881/A0A3Q2HXD5",2
"GO:0016757","GO:0016757","glycosyltransferase activity","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6YF28/A0A3Q2I4T2",2
"GO:0030212","GO:0030212","hyaluronan metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F7DAF6/F6QX36",2
"GO:0031639","GO:0031639","plasminogen activation","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6PH38/A0A5F5PPB8",2
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2HXD5/F7C708",2
"GO:0044042","GO:0044042","glucan metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2I4T2/A0A3Q2HJD6",2
"GO:0044264","GO:0044264","cellular polysaccharide metabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"A0A3Q2I4T2/A0A3Q2HJD6",2
"GO:0044282","GO:0044282","small molecule catabolic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F7D917/F7C708",2
"GO:0051047","GO:0051047","positive regulation of secretion","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6PH38/A0A5F5PPB8",2
"GO:0072376","GO:0072376","protein activation cascade","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6PH38/A0A5F5PPB8",2
"GO:1903532","GO:1903532","positive regulation of secretion by cell","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6PH38/A0A5F5PPB8",2
"GO:1904019","GO:1904019","epithelial cell apoptotic process","2/39","8/612",0.0868549643752569,0.607989027096627,NA,"F6PH38/A0A5F5PPB8",2
"GO:0030141","GO:0030141","secretory granule","3/39","17/612",0.0873720603855411,0.607989027096627,NA,"F6SP74/F6PH38/A0A5F5PPB8",3
"GO:0030246","GO:0030246","carbohydrate binding","3/39","17/612",0.0873720603855411,0.607989027096627,NA,"F6V881/F6VTD3/A0A3Q2I4T2",3
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","3/39","17/612",0.0873720603855411,0.607989027096627,NA,"F7D917/A0A3Q2I4T2/A0A3Q2HJD6",3
"GO:0048584","GO:0048584","positive regulation of response to stimulus","11/39","114/612",0.0886299459541747,0.612517914162756,NA,"H9GZT5/A0A3Q2H908/Q28377/F6SP74/F7BTW7/F6PH38/A0A3Q2HWQ6/A0A5F5PPB8/A0A3Q2HVB6/F6YWC0/H9GZV1",11
"GO:0006897","GO:0006897","endocytosis","5/39","39/612",0.0933426876640457,0.640699128251851,NA,"H9GZT5/A0A3Q2H908/F6SZJ2/A0A3Q2HVB6/H9GZV1",5
